YYYYMM,Value
2019-01,3425.044
2019-02,3020.076
2019-03,2928.525
2019-04,2213.498
2019-05,2135.137
2019-06,2120.269
2019-07,2395.18
2019-08,2435.169
2019-09,2207.12
2019-10,2307.468
2019-11,2784.228
2019-12,3171.583
2020-01,3329.822
2020-02,3064.668
2020-03,2727.983
2020-04,2265.928
2020-05,2078.92
2020-06,2136.466
2020-07,2470.641
2020-08,2406.619
2020-09,2159.214
2020-10,2322.819
2020-11,2448.866
2020-12,3190.619
2021-01,3335.219
2021-02,3095.717
2021-03,2640.102
2021-04,2271.622
2021-05,2116.42
2021-06,2242.031
2021-07,2417.59
2021-08,2436.266
2021-09,2138.211
2021-10,2259.328
2021-11,2684.978
2021-12,3008.222
2022-01,3582.058
2022-02,3052.434
2022-03,2781.768
2022-04,2358.188
2022-05,2240.224
2022-06,2317.094
2022-07,2589.602
2022-08,2566.702
2022-09,2293.531
2022-10,2362.424
2022-11,2768.946
2022-12,3378.941
2023-01,3319.42
2023-02,2960.799
2023-03,3031.294
2023-04,2422.614
2023-05,2313.955
2023-06,2370.356
2023-07,2675.831
2023-08,2687.759
2023-09,2389.18
2023-10,2446.058
2023-11,2829.381
2023-12,3183.38
2024-01,3731.435
2024-02,2972.027
2024-03,2802.724
2024-04,2402.773
2024-05,2342.125
2024-06,2431.219
2024-07,2745.465
2024-08,2724.986
2024-09,2417.41
2024-10,2436.115
2024-11,2711.351
2024-12,3365.102
2025-01,3928.482
2025-02,3243.869
2025-03,2755.073
2025-04,2385.536
2025-05,2311.481
2025-06,2419.697
2025-07,2731.492
2025-08,2642.412
